,Gross PnL in Basis Points,Gross PnL in USD,Maximum Drawdown,Average PnL,Number of Trades
0,-10679754.589873808,-1067.9754589873808,940.02,-25.235289209090908,22
1,-2434974.5377065246,-243.49745377065247,1967.0,-6.33540806375,80
2,-1538517.3051063684,-153.85173051063683,2268.84,-9.561775157142858,28
